OCORRENCIA_ANO,OCORRENCIA_MES,ATENDIMENTO_BAIRRO_NOME,OCORRENCIAS,OCORRENCIAS_LAG1,OCORRENCIAS_LAG2,OCORRENCIAS_LAG3,OCORRENCIAS_LAG4
2009,2,TARUMA,2,4.0,0.0,0.0,0.0
2009,2,TATUQUARA,49,60.0,0.0,0.0,0.0
2009,2,TINGUI,11,4.0,0.0,0.0,0.0
2009,2,UBERABA,66,46.0,0.0,0.0,0.0
2009,2,UMBARA,9,15.0,0.0,0.0,0.0
2009,2,VILA IZABEL,3,1.0,0.0,0.0,0.0
2009,2,VISTA ALEGRE,3,2.0,0.0,0.0,0.0
2009,2,XAXIM,25,50.0,0.0,0.0,0.0
2009,3,ABRANCHES,3,11.0,14.0,0.0,0.0
2009,3,AGUA VERDE,33,23.0,29.0,0.0,0.0
2009,3,AHU,8,1.0,6.0,0.0,0.0
2009,3,ALTO BOQUEIRAO,59,45.0,46.0,0.0,0.0
2009,3,ALTO DA GLORIA,11,8.0,5.0,0.0,0.0
2009,3,ALTO DA RUA XV,8,8.0,10.0,0.0,0.0
2009,3,ATUBA,16,11.0,9.0,0.0,0.0
2009,3,AUGUSTA,5,10.0,10.0,0.0,0.0
2009,3,BACACHERI,41,24.0,24.0,0.0,0.0
2009,3,BAIRRO ALTO,40,35.0,46.0,0.0,0.0
2009,3,BARREIRINHA,25,25.0,20.0,0.0,0.0
2009,3,BATEL,11,10.0,4.0,0.0,0.0
2009,3,BIGORRILHO,13,10.0,13.0,0.0,0.0
2009,3,BOA VISTA,46,40.0,44.0,0.0,0.0
2009,3,BOM RETIRO,5,4.0,7.0,0.0,0.0
2009,3,BOQUEIRAO,89,88.0,93.0,0.0,0.0
2009,3,BUTIATUVINHA,4,8.0,5.0,0.0,0.0
2009,3,CABRAL,35,29.0,33.0,0.0,0.0
2009,3,CACHOEIRA,7,10.0,6.0,0.0,0.0
2009,3,CAJURU,150,105.0,109.0,0.0,0.0
2009,3,CAMPINA DO SIQUEIRA,9,13.0,17.0,0.0,0.0
2009,3,CAMPO COMPRIDO,36,30.0,40.0,0.0,0.0
2009,3,CAMPO DE SANTANA,27,14.0,13.0,0.0,0.0
2009,3,CAPAO DA IMBUIA,15,28.0,43.0,0.0,0.0
2009,3,CAPAO RASO,44,32.0,45.0,0.0,0.0
2009,3,CASCATINHA,1,1.0,3.0,0.0,0.0
2009,3,CAXIMBA,7,1.0,2.0,0.0,0.0
2009,3,CENTRO,190,232.0,259.0,0.0,0.0
2009,3,CENTRO CIVICO,32,26.0,26.0,0.0,0.0
2009,3,CIDADE INDUSTRIAL DE CURITIBA,178,138.0,213.0,0.0,0.0
2009,3,CRISTO REI,9,5.0,4.0,0.0,0.0
2009,3,FANNY,10,6.0,4.0,0.0,0.0
2009,3,FAZENDINHA,45,44.0,58.0,0.0,0.0
2009,3,GANCHINHO,15,14.0,3.0,0.0,0.0
2009,3,GUABIROTUBA,8,7.0,5.0,0.0,0.0
2009,3,GUAIRA,14,15.0,29.0,0.0,0.0
2009,3,HAUER,18,24.0,27.0,0.0,0.0
2009,3,HUGO LANGE,1,5.0,0.0,0.0,0.0
2009,3,JARDIM BOTANICO,30,31.0,20.0,0.0,0.0
2009,3,JARDIM DAS AMERICAS,5,5.0,11.0,0.0,0.0
2009,3,JARDIM SOCIAL,6,2.0,4.0,0.0,0.0
