LOGRADOURO_NOME,LATITUDE,LONGITUDE
 PREFEITO LOTHÁRIO MEISSNER,-25.444001,-49.2436347
 JOÃO MEQUETTI,-25.3767466,-49.237842
 JOVENILSON AMÉRICO DE OLIVEIRA,-25.5588291,-49.3311141
INACIO LUSTOSA,-25.4239647,-49.2720819
THEODORO ALVES,,
EUCLIDES BANDEIRA,-25.4150228,-49.2705364
PRUDENTE DE MORAES,-25.4257005,-49.2846241
AFONSO LIPINSKI,-25.433143,-49.344292
 JORNALISTA ADERBAL G STRESSER,,
VISCONDE DE ABAETÉ,-25.4263025,-49.2010945
ANTONIO REBELATTO,-25.4937631,-49.2591037
JOÃO PARIZE,-25.4098673,-49.3391155
DO XISTO BR-476,,
FRANCISCO JOSÉ LOBO,-25.532223,-49.2779399
SAID JOÃO SALLUM,-25.4158194,-49.2111853
ANITA GARIBALDI,-25.393377,-49.2597945
TOPHILE KOGEMPA,-25.4629704,-49.1960519
 PADRE ANCHIETA,-25.4351516,-49.3045211
ELIZEU VALENTIN DE LIMA,-25.5848502,-49.3211096
AUGUSTO DIAS PAREDES,-25.5061123,-49.2211326
PARANÁ,-25.4295963,-49.2712724
JOSÉ GALESKI,,
IZAAC FERREIRA DA CRUZ,-25.5270301,-49.293016
RIO ARAGUARI,-25.4011923,-49.20257
DEPUTADO BENEDITO LÚCIO MACHADO,-25.5059316,-49.2754698
JACOB BERTINATO,-25.4312087,-49.2376536
CLÁVIO MOLINARI,-25.4399722,-49.2106112
LUIZ LEAL DA ROCHA,-25.5814224,-49.3240938
 VELHA DO BARIGUI,-25.4785442,-49.3397365
 SANTO INÁCIO,-25.4252057,-49.3285776
indefinido,,
CAPIBERIBE,-25.4676834,-49.3021748
ZACARIAS GOMES DE SOUZA,-25.4788328,-49.2091058
praça colégio benedito,,
PRESIDENTE WENCESLAU BRAZ,-25.4730345,-49.2671858
PELEGRINO AZZOLIN (O PEDREIRO ARTISTA),,
ANDRE DE BARROS,-25.4348439,-49.2688101
QUADRA 15,-25.4376484,-49.1909689
 WALDEMAR KOST,-25.4827378,-49.2463691
MANOEL VALDOMIRO DE MACEDO,-25.5171587,-49.3257629
PROFESSOR ULISSES VIEIRA,-25.4613534,-49.2940873
FRANCISCO DE PAULA SOBRINHO,-25.4709983,-49.1999768
WALDEMAR PEREIRA DA SILVA,-25.5012661,-49.2158022
XV DE NOVEMBRO,-25.4314492,-49.2722348
SATURNINO MIRANDA,-25.3928117,-49.3350761
FRANCISCO BORGES MACHADO,-25.432537,-49.2135672
DEPUTADO MÁRIO DE BARROS,-25.4115983,-49.2712154
 DOS FUNCIONÁRIOS,-25.4063339,-49.251889
ANTENOR JOSÉ TEDESCHI,-25.4550537,-49.2014042
ROBERT REDZIMSKI,-25.4557046,-49.352351
 MONSENHOR IVO ZANLORENZI,-25.4441977,-49.352761141339485
ADOLFO JOAO HILARIO DA VEIGA,-25.4488215,-49.3536201874695
CATULO DA PAIXÃO CEARENSE,-25.4665454,-49.2117427
 1 DE MAIO,-25.4266832,-49.2723571
PROFESSOR JOÃO FALARZ,-25.4409275,-49.3455109
 TIJUCAS DO SUL,-25.9273376,-49.179265
6 QUADRA 15,-25.4953468,-49.203839
ANTONIO MOREIRA LOPES,-25.4814346,-49.1948837
 MAJOR NESTOR LUIZ DE OLIVEIRA JÚNIOR,,
MARIA SIMAO CAMPOS,-25.4861073,-49.2121873
JORNALISTA OCTÁVIO SÉCUNDINO,-25.4050687,-49.2806101
 SÃO PAULO,-25.4623132,-49.2797182
SALDANHA MARINHO,-25.4408191,-49.3038038
ELOHAR SCHEREMETTA,-25.3545232,-49.2579254
MARCOS MOCELLIN,-25.3996546,-49.326301
EDUARDO SPRADA,-25.4502995,-49.3538094
 CONSELHEIRO LAURINDO,-25.427822,-49.2659451
 FRANCISCO JOSÉ LOBO,-25.532223,-49.2779399
BALDUR MAGNUS GRUBBA,-25.4833675,-49.3129869
 DEPUTADO PINHEIRO JUNIOR,-25.5590567,-49.2838863
PAULO BETTES,-25.4798439,-49.286131
CELESTE TORTATO GABARDO,-25.544066,-49.2810614
 DEPUTADO HEITOR ALENCAR FURTADO,-25.44333675,-49.35392504942406
DOUTOR SALVADOR DE MAIO,-25.4509796,-49.241743
CHARLES DICKENS,-25.3719285,-49.2666501
JOSÉ DAMARATE,-25.3822761,-49.3360523
NOSSA SENHORA DO SAGRADO CORAÇÃO,-25.5306044,-49.2953218
WALDEMAR MONASTIER,-25.5398467,-49.2336005
SENADOR SOUZA NAVES,-25.4306986,-49.2555639
MAURO GONÇALVES- ZACARIAS,,
 JOÃO AMADEU PEDRO BOM,-25.5511432,-49.298597
MERCÚRIO,-25.47606965,-49.200131300277874
GENERAL OSÓRIO,-25.43303965,-49.27594794423378
REVERENDO PAULO HECKE,-25.3987347,-49.2599733
MINISTRO MARCOS FREIRE,-25.412588,-49.338398
FLORINDO RINALDIN,-25.5099833,-49.2727537
 DOUTOR LEVY BUQUERA,-25.5294013,-49.2683318
UBERLÂNDIA,-25.486537,-49.31543321238826
ABÓBORA,-25.4802799,-49.2077106
DARCY MEIRELLES DA LUZ,-25.4389925,-49.3595018
BRASÍLIA,-25.4295963,-49.2712724
 DENILSON FELIPE DE LIMA,-25.50961,-49.3270375
CANADÁ,-25.44213595,-49.30784087877155
ADILIO RAMOS,-25.412337,-49.2050831
NOSSA SENHORA DE NAZARÉ,-25.386493,-49.2418202
SANTA BERTILLA BOSCARDIN,-25.4004806,-49.3285241
CORONEL FRANCISCO H DOS SANTOS,,
OURIZONA,-25.535927,-49.2508756
LUIZ FRANÇA,-25.447644,-49.2204179
 CEZINANDO DIAS PAREDES,-25.5116029,-49.2197549
JOÃO GBUR,-25.3766173,-49.2259087
PAULINA MARIA DA LUZ,-25.5400519,-49.2656235
GENERAL MARIO TOURINHO,-25.4519848,-49.3044409
JOSÉ MANOEL VOLUZ,-25.5331285,-49.2789013
LUIZ XAVIER,-25.4321506,-49.2742701
AUGUSTO DOS ANJOS,-25.3665272,-49.2681632
VEREADOR TOALDO TÚLIO,-25.4028575,-49.3328465
WILSON DACHEUX PEREIRA,-25.5291985,-49.2468689
 MARGARIDA ANGELA ZARDO MIRANDA,-25.4056819,-49.3379232
 GUY DE MAUPASSANT,-25.3882995,-49.2861321
MARIA APARECIDA BERUSKI,-25.3726357,-49.2539095
ELEONORA FARIA COSTA DA SILVA,-25.5023585,-49.2848624
LOURENÇO PINTO,-25.4370877,-49.2676659
 PRESIDENTE AFFONSO CAMARGO,-25.4374349,-49.2562661
 MOBRAL,-25.3630752,-49.2306682
BARTOLOMEU LOURENÇO DE GUSMÃO,-25.4777528,-49.2436752
ADOLFO BONAROSKI,-25.5013435,-49.3247522
LÁZARO BORSSATTO,-25.528661,-49.2409325
WILSON GOMES RAMOS,-25.3605661,-49.2764678
RUA LUIZ LARA FERNANDES DA PENHA,-25.4722113,-49.1901226
DOUTOR SIMÃO KOSSOBUDSKI,-25.4979422,-49.2201422
MATEUS LEME,-25.4181707,-49.2712599
DESEMBARGADOR MOTTA,-25.4306093,-49.2853451
RUI BARBOSA,-25.4357562,-49.27220349911567
ETIOPIA,-25.4683237,-49.2004099
DESEMBARGADOR ANTONIO COSTA,-25.4680465,-49.2017544
ARAGUAIA,-25.4344178,-49.2057235
 PEDRO SIEMENS,-25.5122558,-49.2662323
 ANAIR BALLA,-25.3941977,-49.3262371
LUIZ GUSSO,-25.3772775,-49.2513999
DA REPÚBLICA,-25.37775965,-49.25261099538305
BEATO GASPAR STANGGASSINGER,-25.5333169,-49.3380547
PEDRO JACOB KLOCK,-25.3635499,-49.2226963
R. HENRIQUE MEHL,-25.4827491,-49.2170313
ESTADOS UNIDOS,-25.3984929,-49.2494026
URUGUAI,-25.4045561,-49.2428005
 ADHMAR VIEIRA DE ARAÚJO,-25.4889712,-49.2040105
RIO MUCURI,-25.3980847,-49.2053148
ANNE FRANK,-25.5006425,-49.2366303
JOÃO SOCHA,-25.5353788,-49.283017
DAS SERINGUEIRAS,-25.4050302,-49.2134544
ANTONIO GOMIDE,-25.4856802,-49.3299197
FERREIRA,-25.492772700000003,-49.24675256302737
