mes,ano,descBairro,qtde_boletins,lag1,lag2,lag3,lag4
1,2017,REBOUCAS,131,173.0,160.0,147.0,171.0
1,2017,RIVIERA,1,1.0,1.0,1.0,1.0
1,2017,SANTA CANDIDA,138,109.0,133.0,110.0,103.0
1,2017,SANTA FELICIDADE,148,186.0,174.0,106.0,173.0
1,2017,SANTA QUITERIA,64,57.0,45.0,31.0,55.0
1,2017,SANTO INACIO,30,25.0,33.0,32.0,34.0
1,2017,SAO BRAZ,75,98.0,77.0,105.0,82.0
1,2017,SAO FRANCISCO,90,103.0,117.0,98.0,86.0
1,2017,SAO JOAO,15,10.0,6.0,4.0,10.0
1,2017,SAO LOURENCO,40,19.0,37.0,21.0,32.0
1,2017,SEMINARIO,40,44.0,41.0,44.0,38.0
1,2017,SITIO CERCADO,531,543.0,524.0,453.0,433.0
1,2017,TABOAO,4,2.0,8.0,16.0,6.0
1,2017,TARUMA,49,63.0,44.0,60.0,62.0
1,2017,TATUQUARA,251,215.0,198.0,177.0,220.0
1,2017,TINGUI,37,43.0,24.0,29.0,39.0
1,2017,UBERABA,201,238.0,424.0,189.0,222.0
1,2017,UMBARA,67,58.0,63.0,63.0,83.0
1,2017,VILA IZABEL,40,41.0,32.0,45.0,43.0
1,2017,VISTA ALEGRE,18,16.0,27.0,25.0,18.0
1,2017,XAXIM,165,176.0,212.0,157.0,239.0
1,2018,ABRANCHES,47,34.0,38.0,38.0,33.0
1,2018,AGUA VERDE,226,191.0,239.0,245.0,243.0
1,2018,AHU,58,39.0,47.0,47.0,33.0
1,2018,ALTO BOQUEIRAO,117,90.0,140.0,139.0,114.0
1,2018,ALTO DA GLORIA,43,59.0,59.0,79.0,46.0
1,2018,ALTO DA RUA XV,74,64.0,87.0,83.0,44.0
1,2018,ALTO DA XV,2,2.0,3.0,1.0,1.0
1,2018,ATUBA,53,34.0,41.0,32.0,59.0
1,2018,AUGUSTA,2,10.0,7.0,12.0,4.0
1,2018,BACACHERI,106,105.0,107.0,105.0,96.0
1,2018,BAIRRO ALTO,133,155.0,152.0,156.0,128.0
1,2018,BARREIRINHA,60,48.0,66.0,72.0,62.0
1,2018,BATEL,96,107.0,139.0,128.0,114.0
1,2018,BIGORRILHO,85,73.0,98.0,86.0,105.0
1,2018,BOA VISTA,105,114.0,99.0,97.0,127.0
1,2018,BOM RETIRO,29,31.0,34.0,48.0,44.0
1,2018,BOQUEIRAO,249,223.0,283.0,295.0,302.0
1,2018,BUTIATUVINHA,21,24.0,23.0,22.0,20.0
1,2018,CABRAL,70,48.0,47.0,54.0,61.0
1,2018,CACHOEIRA,23,21.0,22.0,26.0,29.0
1,2018,CAJURU,311,284.0,327.0,285.0,308.0
1,2018,CAMPINA DO SIQUEIRA,34,30.0,28.0,26.0,34.0
1,2018,CAMPO COMPRIDO,102,112.0,91.0,106.0,72.0
1,2018,CAMPO DE SANTANA,56,76.0,78.0,74.0,82.0
1,2018,CAPAO DA IMBUIA,58,68.0,84.0,77.0,78.0
1,2018,CAPAO RASO,133,140.0,140.0,142.0,124.0
1,2018,CASCATINHA,7,7.0,4.0,4.0,1.0
1,2018,CAXIMBA,11,15.0,13.0,7.0,9.0
1,2018,CENTRO,1204,1127.0,1152.0,1197.0,1134.0
1,2018,CENTRO CIVICO,71,60.0,74.0,68.0,63.0
1,2018,CIDADE INDUSTRIAL DE CURITIBA,559,568.0,591.0,588.0,578.0
1,2018,CRISTO REI,69,64.0,103.0,91.0,70.0
1,2018,FANNY,52,41.0,52.0,96.0,70.0
1,2018,FAZENDINHA,109,90.0,113.0,108.0,93.0
1,2018,GANCHINHO,28,39.0,28.0,31.0,38.0
1,2018,GUABIROTUBA,37,32.0,47.0,36.0,44.0
1,2018,GUAIRA,66,58.0,77.0,91.0,84.0
1,2018,HAUER,122,93.0,129.0,180.0,219.0
1,2018,HUGO LANGE,19,25.0,28.0,17.0,17.0
1,2018,JARDIM BOTANICO,119,115.0,106.0,124.0,118.0
1,2018,JARDIM DAS AMERICAS,76,61.0,89.0,92.0,84.0
1,2018,JARDIM SOCIAL,15,22.0,27.0,38.0,14.0
1,2018,JUVEVE,50,38.0,41.0,41.0,45.0
1,2018,LAMENHA PEQUENA,2,4.0,3.0,2.0,1.0
1,2018,LINDOIA,20,23.0,20.0,30.0,15.0
1,2018,MERCES,104,93.0,106.0,98.0,112.0
1,2018,MOSSUNGUE,54,44.0,38.0,47.0,47.0
1,2018,NOVO MUNDO,181,170.0,179.0,156.0,160.0
1,2018,ORLEANS,17,26.0,34.0,31.0,32.0
1,2018,PAROLIN,68,88.0,65.0,89.0,85.0
1,2018,PILARZINHO,92,93.0,81.0,91.0,71.0
1,2018,PINHEIRINHO,202,189.0,228.0,274.0,259.0
1,2018,PORTAO,251,233.0,305.0,303.0,238.0
1,2018,PRADO VELHO,40,39.0,58.0,73.0,64.0
1,2018,PREJ,3,1.0,1.0,1.0,1.0
1,2018,REBOUCAS,116,120.0,164.0,189.0,187.0
1,2018,SANTA CANDIDA,108,103.0,95.0,114.0,116.0
1,2018,SANTA FELICIDADE,119,105.0,115.0,129.0,121.0
1,2018,SANTA QUITERIA,51,53.0,45.0,35.0,36.0
1,2018,SANTO INACIO,43,33.0,24.0,20.0,21.0
1,2018,SAO BRAZ,51,56.0,38.0,71.0,63.0
1,2018,SAO FRANCISCO,80,91.0,108.0,94.0,89.0
1,2018,SAO JOAO,11,1.0,5.0,8.0,9.0
1,2018,SAO LOURENCO,25,29.0,23.0,23.0,16.0
1,2018,SEMINARIO,30,30.0,25.0,22.0,26.0
1,2018,SITIO CERCADO,468,382.0,453.0,470.0,475.0
1,2018,TABOAO,4,3.0,8.0,1.0,7.0
1,2018,TARUMA,42,39.0,62.0,41.0,37.0
1,2018,TATUQUARA,198,210.0,191.0,220.0,236.0
1,2018,TINGUI,35,20.0,37.0,41.0,33.0
1,2018,UBERABA,212,178.0,223.0,178.0,218.0
1,2018,UMBARA,63,54.0,64.0,59.0,43.0
1,2018,VILA IZABEL,37,38.0,42.0,46.0,40.0
1,2018,VISTA ALEGRE,19,7.0,16.0,19.0,10.0
1,2018,XAXIM,171,134.0,154.0,175.0,158.0
1,2019,ABRANCHES,25,22.0,25.0,34.0,16.0
1,2019,AGUA VERDE,245,312.0,261.0,276.0,262.0
1,2019,AHU,36,23.0,43.0,42.0,34.0
1,2019,ALTO BOQUEIRAO,109,81.0,92.0,121.0,141.0
1,2019,ALTO DA GLORIA,35,30.0,60.0,65.0,42.0
1,2019,ALTO DA RUA XV,63,57.0,75.0,74.0,89.0
1,2019,ALTO DA XV,1,2.0,1.0,1.0,1.0
1,2019,ATUBA,48,35.0,33.0,29.0,31.0
1,2019,AUGUSTA,5,7.0,12.0,4.0,3.0
1,2019,BACACHERI,102,74.0,87.0,99.0,71.0
1,2019,BAIRRO ALTO,117,93.0,127.0,101.0,98.0
1,2019,BARREIRINHA,33,52.0,44.0,49.0,59.0
1,2019,BATEL,126,137.0,135.0,155.0,103.0
1,2019,BIGORRILHO,80,89.0,88.0,98.0,100.0
1,2019,BOA VISTA,76,74.0,88.0,95.0,89.0
1,2019,BOM RETIRO,32,23.0,28.0,30.0,36.0
1,2019,BOQUEIRAO,243,247.0,295.0,265.0,237.0
1,2019,BUTIATUVINHA,21,14.0,17.0,25.0,19.0
1,2019,CABRAL,48,27.0,26.0,44.0,41.0
1,2019,CACHOEIRA,28,13.0,18.0,21.0,24.0
1,2019,CAJURU,281,276.0,258.0,280.0,296.0
1,2019,CAMPINA DO SIQUEIRA,25,30.0,22.0,38.0,20.0
1,2019,CAMPO COMPRIDO,87,75.0,68.0,73.0,78.0
1,2019,CAMPO DE SANTANA,77,62.0,70.0,76.0,63.0
1,2019,CAPAO DA IMBUIA,72,51.0,63.0,58.0,49.0
1,2019,CAPAO RASO,118,133.0,120.0,121.0,97.0
1,2019,CASCATINHA,2,3.0,5.0,2.0,4.0
1,2019,CAXIMBA,16,3.0,6.0,14.0,3.0
1,2019,CENTRO,1081,1069.0,1155.0,1267.0,1017.0
1,2019,CENTRO CIVICO,47,45.0,71.0,83.0,51.0
1,2019,CIDADE INDUSTRIAL DE CURITIBA,519,515.0,592.0,573.0,570.0
1,2019,CRISTO REI,50,73.0,76.0,63.0,81.0
1,2019,FANNY,46,31.0,37.0,44.0,41.0
1,2019,FAZENDINHA,89,79.0,110.0,110.0,87.0
1,2019,GANCHINHO,36,34.0,28.0,40.0,39.0
1,2019,GUABIROTUBA,36,32.0,44.0,39.0,41.0
1,2019,GUAIRA,91,50.0,70.0,75.0,65.0
1,2019,HAUER,140,117.0,123.0,148.0,123.0
1,2019,HUGO LANGE,20,11.0,19.0,21.0,12.0
1,2019,JARDIM BOTANICO,126,141.0,106.0,123.0,83.0
1,2019,JARDIM DAS AMERICAS,62,75.0,71.0,75.0,86.0
1,2019,JARDIM SOCIAL,12,15.0,30.0,22.0,19.0
1,2019,JUVEVE,22,47.0,42.0,56.0,32.0
1,2019,LINDOIA,18,17.0,19.0,19.0,25.0
1,2019,MERCES,76,67.0,100.0,71.0,85.0
1,2019,MOSSUNGUE,35,38.0,37.0,30.0,34.0
1,2019,NOVO MUNDO,173,133.0,158.0,161.0,131.0
1,2019,ORLEANS,25,26.0,19.0,26.0,18.0
