semana,boletins
2020-02-09 00:00:00,194
2020-02-16 00:00:00,238
2020-02-23 00:00:00,158
2020-03-01 00:00:00,190
2020-03-08 00:00:00,212
2020-03-15 00:00:00,187
2020-03-22 00:00:00,151
2020-03-29 00:00:00,211
2020-04-05 00:00:00,165
2020-04-12 00:00:00,194
2020-04-19 00:00:00,183
2020-04-26 00:00:00,207
2020-05-03 00:00:00,165
2020-05-10 00:00:00,173
2020-05-17 00:00:00,159
2020-05-24 00:00:00,175
2020-05-31 00:00:00,207
2020-06-07 00:00:00,197
2020-06-14 00:00:00,174
2020-06-21 00:00:00,177
2020-06-28 00:00:00,167
2020-07-05 00:00:00,163
2020-07-12 00:00:00,192
2020-07-19 00:00:00,211
2020-07-26 00:00:00,174
2020-08-02 00:00:00,183
2020-08-09 00:00:00,183
2020-08-16 00:00:00,158
2020-08-23 00:00:00,191
2020-08-30 00:00:00,188
2020-09-06 00:00:00,202
2020-09-13 00:00:00,186
2020-09-20 00:00:00,189
2020-09-27 00:00:00,268
2020-10-04 00:00:00,228
2020-10-11 00:00:00,228
2020-10-18 00:00:00,176
2020-10-25 00:00:00,234
2020-11-01 00:00:00,206
2020-11-08 00:00:00,220
2020-11-15 00:00:00,197
2020-11-22 00:00:00,202
2020-11-29 00:00:00,177
2020-12-06 00:00:00,205
2020-12-13 00:00:00,186
2020-12-20 00:00:00,197
2020-12-27 00:00:00,142
