,OCORRENCIA_DATA_SEM_HORARIO,OCORRENCIAS_ATENDIDAS
3191,2017-09-27,56
3192,2017-09-28,57
3193,2017-09-29,47
3194,2017-09-30,53
3195,2017-10-01,100
3196,2017-10-02,56
3197,2017-10-03,75
3198,2017-10-04,56
3199,2017-10-05,73
3200,2017-10-06,54
3201,2017-10-07,51
3202,2017-10-08,56
3203,2017-10-09,48
3204,2017-10-10,64
3205,2017-10-11,53
3206,2017-10-12,49
3207,2017-10-13,68
3208,2017-10-14,63
3209,2017-10-15,61
3210,2017-10-16,48
3211,2017-10-17,59
3212,2017-10-18,76
3213,2017-10-19,70
3214,2017-10-20,59
3215,2017-10-21,74
3216,2017-10-22,56
3217,2017-10-23,70
3218,2017-10-24,58
3219,2017-10-25,60
3220,2017-10-26,43
3221,2017-10-27,49
3222,2017-10-28,56
3223,2017-10-29,48
3224,2017-10-30,43
3225,2017-10-31,56
3226,2017-11-01,64
3227,2017-11-02,66
3228,2017-11-03,44
3229,2017-11-04,52
3230,2017-11-05,64
3231,2017-11-06,66
3232,2017-11-07,54
3233,2017-11-08,65
3234,2017-11-09,49
3235,2017-11-10,66
3236,2017-11-11,63
3237,2017-11-12,73
3238,2017-11-13,55
3239,2017-11-14,80
3240,2017-11-15,78
3241,2017-11-16,92
3242,2017-11-17,74
3243,2017-11-18,59
3244,2017-11-19,82
3245,2017-11-20,65
3246,2017-11-21,50
3247,2017-11-22,63
3248,2017-11-23,52
3249,2017-11-24,71
3250,2017-11-25,51
3251,2017-11-26,66
3252,2017-11-27,65
3253,2017-11-28,57
3254,2017-11-29,72
3255,2017-11-30,67
3256,2017-12-01,48
3257,2017-12-02,70
3258,2017-12-03,75
3259,2017-12-04,68
3260,2017-12-05,65
3261,2017-12-06,60
3262,2017-12-07,56
3263,2017-12-08,59
3264,2017-12-09,65
3265,2017-12-10,66
3266,2017-12-11,53
3267,2017-12-12,56
3268,2017-12-13,65
3269,2017-12-14,46
3270,2017-12-15,53
3271,2017-12-16,51
3272,2017-12-17,52
3273,2017-12-18,61
3274,2017-12-19,51
3275,2017-12-20,67
3276,2017-12-21,53
3277,2017-12-22,67
3278,2017-12-23,65
3279,2017-12-24,56
3280,2017-12-25,48
3281,2017-12-26,66
3282,2017-12-27,50
3283,2017-12-28,58
3284,2017-12-29,46
3285,2017-12-30,49
3286,2017-12-31,34
3287,2018-01-01,33
3288,2018-01-02,45
3289,2018-01-03,47
3290,2018-01-04,67
3291,2018-01-05,61
3292,2018-01-06,63
3293,2018-01-07,51
3294,2018-01-08,60
3295,2018-01-09,36
3296,2018-01-10,45
3297,2018-01-11,63
3298,2018-01-12,67
3299,2018-01-13,62
3300,2018-01-14,65
3301,2018-01-15,62
3302,2018-01-16,78
3303,2018-01-17,68
3304,2018-01-18,68
3305,2018-01-19,77
3306,2018-01-20,90
3307,2018-01-21,74
3308,2018-01-22,68
3309,2018-01-23,54
3310,2018-01-24,78
3311,2018-01-25,75
3312,2018-01-26,47
3313,2018-01-27,63
3314,2018-01-28,71
3315,2018-01-29,55
3316,2018-01-30,59
3317,2018-01-31,67
3318,2018-02-01,68
3319,2018-02-02,47
3320,2018-02-03,49
3321,2018-02-04,70
3322,2018-02-05,64
3323,2018-02-06,51
3324,2018-02-07,50
3325,2018-02-08,60
3326,2018-02-09,51
3327,2018-02-10,54
3328,2018-02-11,64
3329,2018-02-12,43
3330,2018-02-13,39
3331,2018-02-14,40
3332,2018-02-15,60
3333,2018-02-16,65
3334,2018-02-17,57
3335,2018-02-18,79
3336,2018-02-19,57
3337,2018-02-20,48
3338,2018-02-21,61
3339,2018-02-22,53
3340,2018-02-23,52
3341,2018-02-24,63
3342,2018-02-25,57
3343,2018-02-26,63
3344,2018-02-27,48
3345,2018-02-28,56
3346,2018-03-01,48
3347,2018-03-02,62
3348,2018-03-03,138
3349,2018-03-04,100
3350,2018-03-05,60
3351,2018-03-06,55
3352,2018-03-07,52
3353,2018-03-08,66
3354,2018-03-09,64
3355,2018-03-10,54
3356,2018-03-11,73
3357,2018-03-12,62
3358,2018-03-13,76
3359,2018-03-14,82
3360,2018-03-15,52
3361,2018-03-16,73
3362,2018-03-17,63
3363,2018-03-18,85
3364,2018-03-19,75
3365,2018-03-20,67
3366,2018-03-21,52
3367,2018-03-22,75
3368,2018-03-23,78
3369,2018-03-24,74
3370,2018-03-25,49
3371,2018-03-26,55
3372,2018-03-27,66
3373,2018-03-28,61
3374,2018-03-29,58
3375,2018-03-30,68
3376,2018-03-31,43
3377,2018-04-01,68
3378,2018-04-02,69
3379,2018-04-03,70
3380,2018-04-04,60
3381,2018-04-05,56
3382,2018-04-06,71
3383,2018-04-07,76
3384,2018-04-08,53
3385,2018-04-09,62
3386,2018-04-10,54
3387,2018-04-11,56
3388,2018-04-12,53
3389,2018-04-13,66
3390,2018-04-14,55
3391,2018-04-15,65
3392,2018-04-16,44
3393,2018-04-17,62
3394,2018-04-18,73
3395,2018-04-19,64
3396,2018-04-20,76
3397,2018-04-21,66
3398,2018-04-22,60
3399,2018-04-23,72
3400,2018-04-24,66
3401,2018-04-25,79
3402,2018-04-26,59
3403,2018-04-27,78
3404,2018-04-28,66
3405,2018-04-29,80
3406,2018-04-30,49
3407,2018-05-01,76
3408,2018-05-02,69
3409,2018-05-03,79
3410,2018-05-04,76
3411,2018-05-05,86
3412,2018-05-06,72
3413,2018-05-07,54
3414,2018-05-08,49
3415,2018-05-09,72
3416,2018-05-10,65
3417,2018-05-11,63
3418,2018-05-12,51
3419,2018-05-13,68
3420,2018-05-14,53
3421,2018-05-15,70
3422,2018-05-16,57
3423,2018-05-17,81
3424,2018-05-18,61
3425,2018-05-19,63
3426,2018-05-20,47
3427,2018-05-21,57
3428,2018-05-22,58
3429,2018-05-23,61
3430,2018-05-24,79
3431,2018-05-25,68
3432,2018-05-26,59
3433,2018-05-27,63
3434,2018-05-28,45
3435,2018-05-29,55
3436,2018-05-30,58
3437,2018-05-31,70
3438,2018-06-01,44
3439,2018-06-02,43
3440,2018-06-03,34
3441,2018-06-04,42
3442,2018-06-05,49
3443,2018-06-06,65
3444,2018-06-07,45
3445,2018-06-08,59
3446,2018-06-09,58
3447,2018-06-10,48
3448,2018-06-11,62
3449,2018-06-12,50
3450,2018-06-13,51
3451,2018-06-14,60
3452,2018-06-15,50
3453,2018-06-16,48
3454,2018-06-17,44
3455,2018-06-18,56
3456,2018-06-19,55
3457,2018-06-20,61
3458,2018-06-21,67
3459,2018-06-22,71
3460,2018-06-23,66
3461,2018-06-24,65
3462,2018-06-25,55
3463,2018-06-26,74
3464,2018-06-27,61
3465,2018-06-28,71
3466,2018-06-29,65
3467,2018-06-30,75
3468,2018-07-01,62
3469,2018-07-02,59
3470,2018-07-03,58
3471,2018-07-04,47
3472,2018-07-05,81
3473,2018-07-06,60
3474,2018-07-07,66
3475,2018-07-08,69
3476,2018-07-09,46
3477,2018-07-10,79
3478,2018-07-11,73
3479,2018-07-12,64
3480,2018-07-13,55
3481,2018-07-14,62
3482,2018-07-15,52
3483,2018-07-16,49
3484,2018-07-17,65
3485,2018-07-18,74
3486,2018-07-19,74
3487,2018-07-20,83
3488,2018-07-21,62
3489,2018-07-22,55
3490,2018-07-23,67
3491,2018-07-24,62
3492,2018-07-25,82
3493,2018-07-26,72
3494,2018-07-27,61
3495,2018-07-28,79
3496,2018-07-29,86
3497,2018-07-30,60
3498,2018-07-31,59
3499,2018-08-01,48
3500,2018-08-02,58
3501,2018-08-03,52
3502,2018-08-04,62
3503,2018-08-05,68
3504,2018-08-06,57
3505,2018-08-07,63
3506,2018-08-08,71
3507,2018-08-09,79
3508,2018-08-10,67
3509,2018-08-11,84
3510,2018-08-12,52
3511,2018-08-13,64
3512,2018-08-14,60
3513,2018-08-15,63
3514,2018-08-16,64
3515,2018-08-17,88
3516,2018-08-18,83
3517,2018-08-19,64
3518,2018-08-20,70
3519,2018-08-21,62
3520,2018-08-22,63
3521,2018-08-23,80
3522,2018-08-24,79
3523,2018-08-25,64
3524,2018-08-26,67
3525,2018-08-27,66
3526,2018-08-28,65
3527,2018-08-29,93
3528,2018-08-30,75
3529,2018-08-31,83
3530,2018-09-01,108
3531,2018-09-02,57
3532,2018-09-03,41
3533,2018-09-04,73
3534,2018-09-05,56
3535,2018-09-06,61
3536,2018-09-07,66
3537,2018-09-08,57
3538,2018-09-09,71
3539,2018-09-10,54
3540,2018-09-11,64
3541,2018-09-12,65
3542,2018-09-13,68
3543,2018-09-14,63
3544,2018-09-15,56
3545,2018-09-16,58
3546,2018-09-17,60
3547,2018-09-18,61
3548,2018-09-19,63
3549,2018-09-20,70
3550,2018-09-21,79
3551,2018-09-22,64
3552,2018-09-23,88
3553,2018-09-24,76
3554,2018-09-25,87
3555,2018-09-26,54
3556,2018-09-27,62
3557,2018-09-28,83
3558,2018-09-29,66
3559,2018-09-30,71
3560,2018-10-01,57
3561,2018-10-02,45
3562,2018-10-03,83
3563,2018-10-04,75
3564,2018-10-05,63
3565,2018-10-06,63
3566,2018-10-07,37
3567,2018-10-08,75
3568,2018-10-09,73
3569,2018-10-10,73
3570,2018-10-11,64
3571,2018-10-12,86
3572,2018-10-13,59
3573,2018-10-14,78
3574,2018-10-15,57
3575,2018-10-16,59
3576,2018-10-17,85
3577,2018-10-18,88
3578,2018-10-19,81
3579,2018-10-20,76
3580,2018-10-21,73
3581,2018-10-22,74
3582,2018-10-23,78
3583,2018-10-24,62
3584,2018-10-25,91
3585,2018-10-26,81
3586,2018-10-27,83
3587,2018-10-28,87
3588,2018-10-29,111
3589,2018-10-30,76
3590,2018-10-31,75
3591,2018-11-01,97
3592,2018-11-02,84
3593,2018-11-03,71
3594,2018-11-04,72
3595,2018-11-05,54
3596,2018-11-06,78
3597,2018-11-07,75
3598,2018-11-08,77
3599,2018-11-09,66
3600,2018-11-10,85
3601,2018-11-11,94
3602,2018-11-12,86
3603,2018-11-13,72
3604,2018-11-14,99
3605,2018-11-15,94
3606,2018-11-16,73
3607,2018-11-17,89
3608,2018-11-18,76
3609,2018-11-19,67
3610,2018-11-20,88
3611,2018-11-21,79
3612,2018-11-22,87
3613,2018-11-23,74
3614,2018-11-24,95
3615,2018-11-25,62
3616,2018-11-26,68
3617,2018-11-27,75
3618,2018-11-28,103
3619,2018-11-29,67
3620,2018-11-30,82
3621,2018-12-01,71
3622,2018-12-02,77
3623,2018-12-03,72
3624,2018-12-04,77
3625,2018-12-05,79
3626,2018-12-06,67
3627,2018-12-07,66
3628,2018-12-08,76
3629,2018-12-09,52
3630,2018-12-10,74
3631,2018-12-11,69
3632,2018-12-12,101
3633,2018-12-13,83
3634,2018-12-14,90
3635,2018-12-15,80
3636,2018-12-16,81
3637,2018-12-17,77
3638,2018-12-18,85
3639,2018-12-19,95
3640,2018-12-20,83
3641,2018-12-21,52
3642,2018-12-22,86
3643,2018-12-23,65
3644,2018-12-24,47
3645,2018-12-25,48
3646,2018-12-26,66
3647,2018-12-27,48
3648,2018-12-28,61
3649,2018-12-29,52
3650,2018-12-30,53
3651,2018-12-31,43
3652,2019-01-01,44
3653,2019-01-02,54
3654,2019-01-03,62
3655,2019-01-04,62
3656,2019-01-05,58
3657,2019-01-06,69
3658,2019-01-07,56
3659,2019-01-08,80
3660,2019-01-09,81
3661,2019-01-10,80
3662,2019-01-11,71
3663,2019-01-12,64
3664,2019-01-13,82
3665,2019-01-14,58
3666,2019-01-15,84
3667,2019-01-16,62
3668,2019-01-17,79
3669,2019-01-18,69
3670,2019-01-19,83
3671,2019-01-20,60
3672,2019-01-21,65
3673,2019-01-22,71
3674,2019-01-23,84
3675,2019-01-24,75
3676,2019-01-25,97
3677,2019-01-26,94
3678,2019-01-27,83
3679,2019-01-28,85
3680,2019-01-29,91
3681,2019-01-30,93
3682,2019-01-31,72
3683,2019-02-01,95
3684,2019-02-02,94
3685,2019-02-03,85
3686,2019-02-04,71
3687,2019-02-05,72
3688,2019-02-06,53
3689,2019-02-07,87
3690,2019-02-08,79
3691,2019-02-09,82
3692,2019-02-10,96
3693,2019-02-11,65
3694,2019-02-12,84
3695,2019-02-13,81
3696,2019-02-14,82
3697,2019-02-15,70
3698,2019-02-16,61
3699,2019-02-17,81
3700,2019-02-18,78
3701,2019-02-19,60
3702,2019-02-20,102
3703,2019-02-21,113
3704,2019-02-22,91
3705,2019-02-23,76
3706,2019-02-24,59
3707,2019-02-25,60
3708,2019-02-26,61
3709,2019-02-27,64
3710,2019-02-28,57
3711,2019-03-01,79
3712,2019-03-02,63
3713,2019-03-03,78
3714,2019-03-04,62
3715,2019-03-05,93
3716,2019-03-06,89
3717,2019-03-07,78
3718,2019-03-08,70
3719,2019-03-09,86
3720,2019-03-10,59
3721,2019-03-11,96
3722,2019-03-12,62
3723,2019-03-13,75
3724,2019-03-14,62
3725,2019-03-15,83
3726,2019-03-16,71
3727,2019-03-17,87
3728,2019-03-18,65
3729,2019-03-19,77
3730,2019-03-20,87
3731,2019-03-21,82
3732,2019-03-22,74
3733,2019-03-23,64
3734,2019-03-24,92
3735,2019-03-25,54
3736,2019-03-26,57
3737,2019-03-27,80
3738,2019-03-28,78
3739,2019-03-29,90
3740,2019-03-30,82
3741,2019-03-31,101
3742,2019-04-01,85
3743,2019-04-02,74
3744,2019-04-03,93
3745,2019-04-04,92
3746,2019-04-05,104
3747,2019-04-06,103
3748,2019-04-07,65
3749,2019-04-08,90
3750,2019-04-09,59
3751,2019-04-10,86
3752,2019-04-11,91
3753,2019-04-12,93
3754,2019-04-13,82
3755,2019-04-14,78
3756,2019-04-15,98
3757,2019-04-16,77
3758,2019-04-17,91
3759,2019-04-18,80
3760,2019-04-19,61
3761,2019-04-20,71
3762,2019-04-21,63
3763,2019-04-22,70
3764,2019-04-23,66
3765,2019-04-24,81
3766,2019-04-25,85
