,OCORRENCIA_DATA_SEM_HORARIO,OCORRENCIAS_ATENDIDAS
203,2009-07-23,50
204,2009-07-24,60
205,2009-07-25,90
206,2009-07-26,74
207,2009-07-27,41
208,2009-07-28,57
209,2009-07-29,61
210,2009-07-30,55
211,2009-07-31,64
212,2009-08-01,113
213,2009-08-02,79
214,2009-08-03,38
215,2009-08-04,63
216,2009-08-05,63
217,2009-08-06,70
218,2009-08-07,58
219,2009-08-08,109
220,2009-08-09,89
221,2009-08-10,39
222,2009-08-11,45
223,2009-08-12,43
224,2009-08-13,50
225,2009-08-14,65
226,2009-08-15,84
227,2009-08-16,107
228,2009-08-17,48
229,2009-08-18,40
230,2009-08-19,40
231,2009-08-20,57
232,2009-08-21,51
233,2009-08-22,94
234,2009-08-23,68
235,2009-08-24,36
236,2009-08-25,54
237,2009-08-26,53
238,2009-08-27,49
239,2009-08-28,68
240,2009-08-29,92
241,2009-08-30,97
242,2009-08-31,52
243,2009-09-01,45
244,2009-09-02,62
245,2009-09-03,54
246,2009-09-04,62
247,2009-09-05,91
248,2009-09-06,88
249,2009-09-07,73
250,2009-09-08,55
251,2009-09-09,94
252,2009-09-10,53
253,2009-09-11,74
254,2009-09-12,99
255,2009-09-13,103
256,2009-09-14,49
257,2009-09-15,57
258,2009-09-16,80
259,2009-09-17,73
260,2009-09-18,59
261,2009-09-19,103
262,2009-09-20,112
263,2009-09-21,39
264,2009-09-22,38
265,2009-09-23,101
266,2009-09-24,41
267,2009-09-25,52
268,2009-09-26,101
269,2009-09-27,107
270,2009-09-28,93
271,2009-09-29,41
272,2009-09-30,42
273,2009-10-01,68
274,2009-10-02,71
275,2009-10-03,70
276,2009-10-04,126
277,2009-10-05,35
278,2009-10-06,56
279,2009-10-07,55
280,2009-10-08,45
281,2009-10-09,81
282,2009-10-10,89
283,2009-10-11,119
284,2009-10-12,84
285,2009-10-13,48
286,2009-10-14,47
287,2009-10-15,64
288,2009-10-16,46
289,2009-10-17,91
290,2009-10-18,94
291,2009-10-19,54
292,2009-10-20,54
293,2009-10-21,56
294,2009-10-22,47
295,2009-10-23,56
296,2009-10-24,112
297,2009-10-25,121
298,2009-10-26,55
299,2009-10-27,52
300,2009-10-28,57
301,2009-10-29,80
302,2009-10-30,63
303,2009-10-31,77
304,2009-11-01,108
305,2009-11-02,86
306,2009-11-03,52
307,2009-11-04,58
308,2009-11-05,84
309,2009-11-06,79
310,2009-11-07,96
311,2009-11-08,97
312,2009-11-09,54
313,2009-11-10,51
314,2009-11-11,51
315,2009-11-12,52
316,2009-11-13,77
317,2009-11-14,107
318,2009-11-15,101
319,2009-11-16,41
320,2009-11-17,41
321,2009-11-18,53
322,2009-11-19,156
323,2009-11-20,131
324,2009-11-21,116
325,2009-11-22,126
326,2009-11-23,40
327,2009-11-24,67
328,2009-11-25,66
329,2009-11-26,76
330,2009-11-27,72
331,2009-11-28,104
332,2009-11-29,127
333,2009-11-30,62
334,2009-12-01,69
335,2009-12-02,59
336,2009-12-03,63
337,2009-12-04,69
338,2009-12-05,75
339,2009-12-06,67
340,2009-12-07,51
341,2009-12-08,51
342,2009-12-09,59
343,2009-12-10,56
344,2009-12-11,61
345,2009-12-12,103
346,2009-12-13,108
347,2009-12-14,47
348,2009-12-15,60
349,2009-12-16,68
350,2009-12-17,121
351,2009-12-18,65
352,2009-12-19,98
353,2009-12-20,98
354,2009-12-21,55
355,2009-12-22,68
356,2009-12-23,62
357,2009-12-24,52
358,2009-12-25,51
359,2009-12-26,62
360,2009-12-27,94
361,2009-12-28,49
362,2009-12-29,45
363,2009-12-30,63
364,2009-12-31,35
365,2010-01-01,42
366,2010-01-02,48
367,2010-01-03,47
368,2010-01-04,38
369,2010-01-05,59
370,2010-01-06,51
371,2010-01-07,50
372,2010-01-08,48
373,2010-01-09,71
374,2010-01-10,90
375,2010-01-11,46
376,2010-01-12,65
377,2010-01-13,46
378,2010-01-14,65
379,2010-01-15,68
380,2010-01-16,93
381,2010-01-17,95
382,2010-01-18,62
383,2010-01-19,50
384,2010-01-20,58
385,2010-01-21,77
386,2010-01-22,69
387,2010-01-23,93
388,2010-01-24,113
389,2010-01-25,36
390,2010-01-26,46
391,2010-01-27,51
392,2010-01-28,71
393,2010-01-29,64
394,2010-01-30,98
395,2010-01-31,86
396,2010-02-01,59
397,2010-02-02,56
398,2010-02-03,64
399,2010-02-04,53
400,2010-02-05,76
401,2010-02-06,85
402,2010-02-07,107
403,2010-02-08,38
404,2010-02-09,49
405,2010-02-10,63
406,2010-02-11,48
407,2010-02-12,60
408,2010-02-13,71
409,2010-02-14,65
410,2010-02-15,50
411,2010-02-16,47
412,2010-02-17,34
413,2010-02-18,40
414,2010-02-19,43
415,2010-02-20,84
416,2010-02-21,92
417,2010-02-22,13
418,2010-02-23,5
419,2010-02-24,2
420,2010-02-25,3
421,2010-02-26,7
422,2010-02-27,2
423,2010-02-28,2
424,2010-03-01,9
425,2010-03-02,12
426,2010-03-03,24
427,2010-03-04,49
428,2010-03-05,61
429,2010-03-06,77
430,2010-03-07,68
431,2010-03-08,33
432,2010-03-09,46
433,2010-03-10,47
434,2010-03-11,49
435,2010-03-12,64
436,2010-03-13,82
437,2010-03-14,70
438,2010-03-15,50
439,2010-03-16,43
440,2010-03-17,44
441,2010-03-18,49
442,2010-03-19,55
443,2010-03-20,79
444,2010-03-21,94
445,2010-03-22,36
446,2010-03-23,34
447,2010-03-24,61
448,2010-03-25,49
449,2010-03-26,63
450,2010-03-27,82
451,2010-03-28,87
452,2010-03-29,35
453,2010-03-30,45
454,2010-03-31,44
455,2010-04-01,63
456,2010-04-02,90
457,2010-04-03,94
458,2010-04-04,87
459,2010-04-05,26
460,2010-04-06,35
461,2010-04-07,34
462,2010-04-08,57
463,2010-04-09,60
464,2010-04-10,90
465,2010-04-11,97
466,2010-04-12,47
467,2010-04-13,45
468,2010-04-14,64
469,2010-04-15,56
470,2010-04-16,75
471,2010-04-17,92
472,2010-04-18,115
473,2010-04-19,54
474,2010-04-20,53
475,2010-04-21,67
476,2010-04-22,87
477,2010-04-23,152
478,2010-04-24,83
479,2010-04-25,80
480,2010-04-26,56
481,2010-04-27,50
482,2010-04-28,50
483,2010-04-29,56
484,2010-04-30,79
485,2010-05-01,104
486,2010-05-02,121
487,2010-05-03,52
488,2010-05-04,62
489,2010-05-05,39
490,2010-05-06,46
491,2010-05-07,54
492,2010-05-08,81
493,2010-05-09,78
494,2010-05-10,34
495,2010-05-11,54
496,2010-05-12,51
497,2010-05-13,45
498,2010-05-14,67
499,2010-05-15,82
500,2010-05-16,105
501,2010-05-17,33
502,2010-05-18,40
503,2010-05-19,33
504,2010-05-20,63
505,2010-05-21,64
506,2010-05-22,68
507,2010-05-23,86
508,2010-05-24,47
509,2010-05-25,36
510,2010-05-26,43
511,2010-05-27,59
512,2010-05-28,61
513,2010-05-29,81
514,2010-05-30,80
515,2010-05-31,48
516,2010-06-01,55
517,2010-06-02,58
518,2010-06-03,61
519,2010-06-04,46
520,2010-06-05,92
521,2010-06-06,79
522,2010-06-07,46
523,2010-06-08,52
524,2010-06-09,47
525,2010-06-10,53
526,2010-06-11,47
527,2010-06-12,57
528,2010-06-13,120
529,2010-06-14,34
530,2010-06-15,38
531,2010-06-16,42
532,2010-06-17,37
533,2010-06-18,54
534,2010-06-19,95
535,2010-06-20,74
536,2010-06-21,24
537,2010-06-22,39
538,2010-06-23,46
539,2010-06-24,43
540,2010-06-25,55
541,2010-06-26,95
542,2010-06-27,98
543,2010-06-28,45
544,2010-06-29,42
545,2010-06-30,53
546,2010-07-01,41
547,2010-07-02,71
548,2010-07-03,66
549,2010-07-04,66
550,2010-07-05,47
551,2010-07-06,49
552,2010-07-07,61
553,2010-07-08,55
554,2010-07-09,56
555,2010-07-10,72
556,2010-07-11,120
557,2010-07-12,56
558,2010-07-13,55
559,2010-07-14,50
560,2010-07-15,34
561,2010-07-16,47
562,2010-07-17,54
563,2010-07-18,56
564,2010-07-19,37
565,2010-07-20,62
566,2010-07-21,54
567,2010-07-22,54
568,2010-07-23,60
569,2010-07-24,85
570,2010-07-25,96
571,2010-07-26,38
572,2010-07-27,42
573,2010-07-28,51
574,2010-07-29,41
575,2010-07-30,75
576,2010-07-31,124
577,2010-08-01,82
578,2010-08-02,38
579,2010-08-03,34
580,2010-08-04,36
581,2010-08-05,67
582,2010-08-06,58
583,2010-08-07,89
584,2010-08-08,113
585,2010-08-09,63
586,2010-08-10,34
587,2010-08-11,43
588,2010-08-12,56
589,2010-08-13,74
590,2010-08-14,66
591,2010-08-15,72
592,2010-08-16,33
593,2010-08-17,51
594,2010-08-18,56
595,2010-08-19,51
596,2010-08-20,68
597,2010-08-21,95
598,2010-08-22,73
599,2010-08-23,59
600,2010-08-24,60
601,2010-08-25,67
602,2010-08-26,62
603,2010-08-27,79
604,2010-08-28,78
605,2010-08-29,91
606,2010-08-30,53
607,2010-08-31,53
608,2010-09-01,62
609,2010-09-02,56
610,2010-09-03,68
611,2010-09-04,62
612,2010-09-05,78
613,2010-09-06,47
614,2010-09-07,56
615,2010-09-08,42
616,2010-09-09,57
617,2010-09-10,61
618,2010-09-11,109
619,2010-09-12,75
620,2010-09-13,43
621,2010-09-14,53
622,2010-09-15,57
623,2010-09-16,43
624,2010-09-17,72
625,2010-09-18,81
626,2010-09-19,102
627,2010-09-20,52
628,2010-09-21,45
629,2010-09-22,48
630,2010-09-23,52
631,2010-09-24,73
632,2010-09-25,66
633,2010-09-26,68
634,2010-09-27,51
635,2010-09-28,54
636,2010-09-29,58
637,2010-09-30,70
638,2010-10-01,63
639,2010-10-02,66
640,2010-10-03,51
641,2010-10-04,26
642,2010-10-05,52
643,2010-10-06,48
644,2010-10-07,58
645,2010-10-08,52
646,2010-10-09,66
647,2010-10-10,87
648,2010-10-11,79
649,2010-10-12,84
650,2010-10-13,59
651,2010-10-14,48
652,2010-10-15,54
653,2010-10-16,71
654,2010-10-17,77
655,2010-10-18,62
656,2010-10-19,87
657,2010-10-20,49
658,2010-10-21,58
659,2010-10-22,98
660,2010-10-23,122
661,2010-10-24,84
662,2010-10-25,54
663,2010-10-26,70
664,2010-10-27,65
665,2010-10-28,54
666,2010-10-29,59
667,2010-10-30,70
668,2010-10-31,71
669,2010-11-01,61
670,2010-11-02,63
671,2010-11-03,58
672,2010-11-04,59
673,2010-11-05,62
674,2010-11-06,74
675,2010-11-07,67
676,2010-11-08,69
677,2010-11-09,63
678,2010-11-10,49
679,2010-11-11,71
680,2010-11-12,75
681,2010-11-13,78
682,2010-11-14,66
683,2010-11-15,53
684,2010-11-16,53
685,2010-11-17,57
686,2010-11-18,77
687,2010-11-19,75
688,2010-11-20,93
689,2010-11-21,92
690,2010-11-22,56
691,2010-11-23,55
692,2010-11-24,76
693,2010-11-25,85
694,2010-11-26,74
695,2010-11-27,70
696,2010-11-28,117
697,2010-11-29,53
698,2010-11-30,65
699,2010-12-01,60
700,2010-12-02,69
701,2010-12-03,82
702,2010-12-04,91
703,2010-12-05,98
704,2010-12-06,48
705,2010-12-07,58
706,2010-12-08,51
707,2010-12-09,73
708,2010-12-10,69
709,2010-12-11,95
710,2010-12-12,67
711,2010-12-13,71
712,2010-12-14,49
713,2010-12-15,55
714,2010-12-16,53
715,2010-12-17,61
716,2010-12-18,92
717,2010-12-19,79
718,2010-12-20,54
719,2010-12-21,68
720,2010-12-22,76
721,2010-12-23,60
722,2010-12-24,55
723,2010-12-25,43
724,2010-12-26,69
725,2010-12-27,56
726,2010-12-28,68
727,2010-12-29,67
728,2010-12-30,55
729,2010-12-31,32
730,2011-01-01,44
731,2011-01-02,44
732,2011-01-03,78
733,2011-01-04,57
734,2011-01-05,67
735,2011-01-06,100
736,2011-01-07,71
737,2011-01-08,98
738,2011-01-09,80
739,2011-01-10,56
740,2011-01-11,55
741,2011-01-12,64
742,2011-01-13,58
743,2011-01-14,73
744,2011-01-15,95
745,2011-01-16,97
746,2011-01-17,74
747,2011-01-18,58
748,2011-01-19,74
749,2011-01-20,93
750,2011-01-21,81
751,2011-01-22,123
752,2011-01-23,95
753,2011-01-24,76
754,2011-01-25,74
755,2011-01-26,79
756,2011-01-27,77
757,2011-01-28,66
758,2011-01-29,95
759,2011-01-30,95
760,2011-01-31,85
761,2011-02-01,44
762,2011-02-02,61
763,2011-02-03,60
764,2011-02-04,63
765,2011-02-05,97
766,2011-02-06,72
767,2011-02-07,54
768,2011-02-08,64
769,2011-02-09,55
770,2011-02-10,91
771,2011-02-11,94
772,2011-02-12,155
773,2011-02-13,11
774,2011-02-14,136
775,2011-02-15,89
776,2011-02-16,64
777,2011-02-17,75
778,2011-02-18,83
779,2011-02-19,84
780,2011-02-20,93
781,2011-02-21,59
782,2011-02-22,62
783,2011-02-23,43
784,2011-02-24,61
785,2011-02-25,96
786,2011-02-26,79
787,2011-02-27,108
788,2011-02-28,51
789,2011-03-01,47
790,2011-03-02,53
791,2011-03-03,56
792,2011-03-04,49
793,2011-03-05,50
794,2011-03-06,66
795,2011-03-07,38
796,2011-03-08,61
797,2011-03-09,60
798,2011-03-10,39
799,2011-03-11,52
800,2011-03-12,58
801,2011-03-13,77
802,2011-03-14,46
803,2011-03-15,65
804,2011-03-16,54
805,2011-03-17,45
806,2011-03-18,65
807,2011-03-19,66
808,2011-03-20,48
809,2011-03-21,45
810,2011-03-22,4
811,2011-03-23,46
812,2011-03-24,58
813,2011-03-25,54
814,2011-03-26,62
815,2011-03-27,57
816,2011-03-28,51
817,2011-03-29,51
818,2011-03-30,52
819,2011-03-31,63
820,2011-04-01,85
821,2011-04-02,140
822,2011-04-03,66
823,2011-04-04,37
824,2011-04-05,52
825,2011-04-06,49
826,2011-04-07,46
827,2011-04-08,64
828,2011-04-09,51
829,2011-04-10,49
830,2011-04-11,53
831,2011-04-12,56
832,2011-04-13,54
833,2011-04-14,78
834,2011-04-15,61
835,2011-04-16,61
836,2011-04-17,73
837,2011-04-18,83
838,2011-04-19,94
839,2011-04-20,76
840,2011-04-21,65
841,2011-04-22,46
842,2011-04-23,47
843,2011-04-24,47
844,2011-04-25,55
845,2011-04-26,37
846,2011-04-27,60
847,2011-04-28,48
848,2011-04-29,57
849,2011-04-30,59
850,2011-05-01,63
851,2011-05-02,48
852,2011-05-03,41
853,2011-05-04,40
854,2011-05-05,54
855,2011-05-06,119
856,2011-05-07,79
857,2011-05-08,76
858,2011-05-09,54
859,2011-05-10,85
860,2011-05-11,53
861,2011-05-12,73
862,2011-05-13,74
863,2011-05-14,78
864,2011-05-15,52
865,2011-05-16,44
866,2011-05-17,61
867,2011-05-18,67
868,2011-05-19,72
869,2011-05-20,87
870,2011-05-21,90
871,2011-05-22,77
872,2011-05-23,69
873,2011-05-24,84
874,2011-05-25,69
875,2011-05-26,80
876,2011-05-27,94
877,2011-05-28,81
878,2011-05-29,58
879,2011-05-30,66
880,2011-05-31,86
881,2011-06-01,73
882,2011-06-02,86
883,2011-06-03,89
884,2011-06-04,84
885,2011-06-05,81
886,2011-06-06,78
887,2011-06-07,77
888,2011-06-08,96
889,2011-06-09,107
890,2011-06-10,113
891,2011-06-11,84
892,2011-06-12,105
893,2011-06-13,60
894,2011-06-14,48
895,2011-06-15,60
896,2011-06-16,64
897,2011-06-17,67
898,2011-06-18,62
899,2011-06-19,52
900,2011-06-20,63
901,2011-06-21,51
902,2011-06-22,73
903,2011-06-23,57
904,2011-06-24,32
905,2011-06-25,53
906,2011-06-26,48
907,2011-06-27,48
908,2011-06-28,35
909,2011-06-29,29
910,2011-06-30,46
911,2011-07-01,34
912,2011-07-02,46
913,2011-07-03,39
914,2011-07-04,50
915,2011-07-05,42
916,2011-07-06,50
917,2011-07-07,51
918,2011-07-08,31
919,2011-07-09,54
920,2011-07-10,42
921,2011-07-11,49
922,2011-07-12,49
923,2011-07-13,48
924,2011-07-14,65
925,2011-07-15,63
926,2011-07-16,47
927,2011-07-17,53
928,2011-07-18,37
929,2011-07-19,47
930,2011-07-20,46
931,2011-07-21,54
932,2011-07-22,66
933,2011-07-23,54
934,2011-07-24,59
935,2011-07-25,38
936,2011-07-26,35
937,2011-07-27,41
938,2011-07-28,49
939,2011-07-29,56
940,2011-07-30,42
941,2011-07-31,25
942,2011-08-01,47
943,2011-08-02,38
944,2011-08-03,45
945,2011-08-04,53
946,2011-08-05,40
947,2011-08-06,80
948,2011-08-07,58
949,2011-08-08,39
950,2011-08-09,44
951,2011-08-10,36
952,2011-08-11,42
953,2011-08-12,59
954,2011-08-13,51
955,2011-08-14,50
956,2011-08-15,45
957,2011-08-16,49
958,2011-08-17,55
959,2011-08-18,53
960,2011-08-19,43
961,2011-08-20,53
962,2011-08-21,54
963,2011-08-22,24
964,2011-08-23,28
965,2011-08-24,43
966,2011-08-25,64
967,2011-08-26,73
968,2011-08-27,54
969,2011-08-28,67
970,2011-08-29,49
971,2011-08-30,38
972,2011-08-31,31
973,2011-09-01,49
974,2011-09-02,53
975,2011-09-03,54
976,2011-09-04,62
977,2011-09-05,39
978,2011-09-06,34
979,2011-09-07,32
980,2011-09-08,48
981,2011-09-09,37
982,2011-09-10,52
983,2011-09-11,62
984,2011-09-12,52
985,2011-09-13,53
986,2011-09-14,27
987,2011-09-15,47
988,2011-09-16,55
989,2011-09-17,69
990,2011-09-18,74
991,2011-09-19,39
992,2011-09-20,44
993,2011-09-21,42
994,2011-09-22,59
995,2011-09-23,47
996,2011-09-24,78
997,2011-09-25,55
998,2011-09-26,56
999,2011-09-27,33
1000,2011-09-28,48
1001,2011-09-29,46
1002,2011-09-30,83
1003,2011-10-01,68
1004,2011-10-02,55
1005,2011-10-03,44
1006,2011-10-04,43
1007,2011-10-05,57
1008,2011-10-06,54
1009,2011-10-07,62
1010,2011-10-08,62
1011,2011-10-09,52
1012,2011-10-10,72
1013,2011-10-11,61
1014,2011-10-12,60
1015,2011-10-13,35
1016,2011-10-14,45
1017,2011-10-15,70
1018,2011-10-16,51
1019,2011-10-17,40
1020,2011-10-18,47
1021,2011-10-19,44
1022,2011-10-20,45
1023,2011-10-21,54
1024,2011-10-22,63
1025,2011-10-23,70
1026,2011-10-24,51
1027,2011-10-25,38
1028,2011-10-26,51
1029,2011-10-27,58
1030,2011-10-28,55
1031,2011-10-29,51
1032,2011-10-30,49
1033,2011-10-31,44
1034,2011-11-01,48
1035,2011-11-02,54
1036,2011-11-03,61
1037,2011-11-04,54
1038,2011-11-05,53
1039,2011-11-06,48
1040,2011-11-07,46
1041,2011-11-08,39
1042,2011-11-09,66
1043,2011-11-10,51
1044,2011-11-11,47
1045,2011-11-12,56
1046,2011-11-13,39
1047,2011-11-14,31
1048,2011-11-15,44
1049,2011-11-16,41
1050,2011-11-17,47
1051,2011-11-18,41
1052,2011-11-19,56
1053,2011-11-20,56
1054,2011-11-21,53
1055,2011-11-22,47
1056,2011-11-23,61
1057,2011-11-24,65
1058,2011-11-25,54
1059,2011-11-26,77
1060,2011-11-27,60
1061,2011-11-28,37
1062,2011-11-29,46
1063,2011-11-30,59
1064,2011-12-01,57
1065,2011-12-02,52
1066,2011-12-03,57
1067,2011-12-04,48
1068,2011-12-05,36
1069,2011-12-06,58
1070,2011-12-07,48
1071,2011-12-08,38
1072,2011-12-09,76
1073,2011-12-10,48
1074,2011-12-11,72
1075,2011-12-12,50
1076,2011-12-13,41
1077,2011-12-14,58
1078,2011-12-15,44
1079,2011-12-16,55
1080,2011-12-17,70
1081,2011-12-18,68
1082,2011-12-19,49
1083,2011-12-20,57
1084,2011-12-21,44
1085,2011-12-22,53
1086,2011-12-23,59
1087,2011-12-24,59
1088,2011-12-25,35
1089,2011-12-26,48
1090,2011-12-27,49
1091,2011-12-28,54
1092,2011-12-29,50
1093,2011-12-30,43
1094,2011-12-31,30
1095,2012-01-01,39
1096,2012-01-02,41
1097,2012-01-03,49
1098,2012-01-04,54
1099,2012-01-05,56
1100,2012-01-06,53
1101,2012-01-07,47
1102,2012-01-08,44
1103,2012-01-09,51
1104,2012-01-10,54
1105,2012-01-11,57
1106,2012-01-12,72
1107,2012-01-13,42
1108,2012-01-14,49
1109,2012-01-15,50
1110,2012-01-16,46
1111,2012-01-17,34
1112,2012-01-18,42
1113,2012-01-19,61
1114,2012-01-20,57
1115,2012-01-21,54
1116,2012-01-22,66
1117,2012-01-23,43
1118,2012-01-24,51
1119,2012-01-25,62
1120,2012-01-26,42
1121,2012-01-27,64
1122,2012-01-28,81
1123,2012-01-29,65
1124,2012-01-30,65
1125,2012-01-31,51
1126,2012-02-01,57
1127,2012-02-02,71
1128,2012-02-03,61
1129,2012-02-04,72
1130,2012-02-05,73
1131,2012-02-06,51
1132,2012-02-07,59
1133,2012-02-08,67
1134,2012-02-09,75
1135,2012-02-10,81
1136,2012-02-11,64
1137,2012-02-12,73
1138,2012-02-13,50
1139,2012-02-14,35
1140,2012-02-15,46
1141,2012-02-16,57
1142,2012-02-17,56
1143,2012-02-18,43
1144,2012-02-19,80
1145,2012-02-20,53
1146,2012-02-21,60
1147,2012-02-22,59
1148,2012-02-23,64
1149,2012-02-24,67
1150,2012-02-25,60
1151,2012-02-26,73
1152,2012-02-27,41
1153,2012-02-28,57
1154,2012-02-29,47
1155,2012-03-01,40
1156,2012-03-02,38
1157,2012-03-03,82
1158,2012-03-04,70
1159,2012-03-05,50
1160,2012-03-06,38
1161,2012-03-07,63
1162,2012-03-08,53
1163,2012-03-09,64
1164,2012-03-10,70
1165,2012-03-11,81
1166,2012-03-12,47
1167,2012-03-13,58
1168,2012-03-14,60
1169,2012-03-15,50
1170,2012-03-16,46
1171,2012-03-17,79
1172,2012-03-18,66
1173,2012-03-19,39
1174,2012-03-20,53
1175,2012-03-21,60
1176,2012-03-22,61
1177,2012-03-23,69
1178,2012-03-24,75
1179,2012-03-25,56
1180,2012-03-26,49
1181,2012-03-27,55
1182,2012-03-28,57
1183,2012-03-29,65
1184,2012-03-30,55
1185,2012-03-31,69
1186,2012-04-01,78
1187,2012-04-02,56
1188,2012-04-03,66
1189,2012-04-04,70
1190,2012-04-05,70
1191,2012-04-06,79
1192,2012-04-07,61
1193,2012-04-08,70
1194,2012-04-09,85
1195,2012-04-10,44
1196,2012-04-11,52
1197,2012-04-12,64
1198,2012-04-13,79
1199,2012-04-14,80
1200,2012-04-15,79
1201,2012-04-16,53
1202,2012-04-17,53
1203,2012-04-18,73
1204,2012-04-19,60
1205,2012-04-20,59
1206,2012-04-21,53
1207,2012-04-22,68
1208,2012-04-23,58
1209,2012-04-24,48
1210,2012-04-25,50
1211,2012-04-26,48
1212,2012-04-27,68
1213,2012-04-28,46
1214,2012-04-29,57
1215,2012-04-30,52
1216,2012-05-01,62
1217,2012-05-02,47
1218,2012-05-03,39
1219,2012-05-04,48
1220,2012-05-05,46
1221,2012-05-06,61
1222,2012-05-07,39
1223,2012-05-08,45
1224,2012-05-09,57
1225,2012-05-10,53
1226,2012-05-11,48
1227,2012-05-12,64
1228,2012-05-13,62
1229,2012-05-14,49
1230,2012-05-15,54
1231,2012-05-16,49
1232,2012-05-17,53
1233,2012-05-18,72
1234,2012-05-19,62
1235,2012-05-20,71
1236,2012-05-21,41
1237,2012-05-22,55
1238,2012-05-23,43
1239,2012-05-24,31
1240,2012-05-25,54
1241,2012-05-26,46
1242,2012-05-27,60
1243,2012-05-28,40
1244,2012-05-29,44
1245,2012-05-30,48
1246,2012-05-31,38
1247,2012-06-01,52
1248,2012-06-02,63
1249,2012-06-03,46
1250,2012-06-04,39
1251,2012-06-05,45
1252,2012-06-06,40
1253,2012-06-07,48
1254,2012-06-08,34
1255,2012-06-09,46
1256,2012-06-10,22
1257,2012-06-11,42
1258,2012-06-12,58
1259,2012-06-13,40
1260,2012-06-14,47
1261,2012-06-15,55
1262,2012-06-16,54
1263,2012-06-17,57
1264,2012-06-18,32
1265,2012-06-19,36
1266,2012-06-20,52
1267,2012-06-21,53
1268,2012-06-22,42
1269,2012-06-23,38
1270,2012-06-24,57
1271,2012-06-25,58
1272,2012-06-26,52
1273,2012-06-27,51
1274,2012-06-28,49
1275,2012-06-29,51
1276,2012-06-30,60
1277,2012-07-01,58
1278,2012-07-02,61
1279,2012-07-03,54
1280,2012-07-04,42
1281,2012-07-05,40
1282,2012-07-06,50
1283,2012-07-07,34
1284,2012-07-08,41
1285,2012-07-09,34
1286,2012-07-10,48
1287,2012-07-11,33
1288,2012-07-12,56
1289,2012-07-13,50
1290,2012-07-14,47
1291,2012-07-15,63
1292,2012-07-16,34
1293,2012-07-17,31
1294,2012-07-18,36
1295,2012-07-19,44
1296,2012-07-20,48
1297,2012-07-21,65
1298,2012-07-22,56
1299,2012-07-23,35
1300,2012-07-24,48
1301,2012-07-25,35
1302,2012-07-26,39
1303,2012-07-27,44
1304,2012-07-28,65
1305,2012-07-29,61
1306,2012-07-30,28
1307,2012-07-31,51
1308,2012-08-01,27
1309,2012-08-02,66
1310,2012-08-03,39
1311,2012-08-04,68
1312,2012-08-05,50
1313,2012-08-06,61
1314,2012-08-07,39
1315,2012-08-08,39
1316,2012-08-09,47
1317,2012-08-10,63
1318,2012-08-11,68
1319,2012-08-12,66
1320,2012-08-13,42
1321,2012-08-14,47
1322,2012-08-15,35
1323,2012-08-16,59
1324,2012-08-17,48
1325,2012-08-18,51
1326,2012-08-19,69
1327,2012-08-20,34
1328,2012-08-21,48
1329,2012-08-22,51
1330,2012-08-23,55
1331,2012-08-24,55
1332,2012-08-25,69
1333,2012-08-26,62
1334,2012-08-27,48
1335,2012-08-28,47
1336,2012-08-29,51
1337,2012-08-30,57
1338,2012-08-31,45
1339,2012-09-01,67
1340,2012-09-02,64
1341,2012-09-03,44
1342,2012-09-04,34
1343,2012-09-05,61
1344,2012-09-06,40
1345,2012-09-07,56
1346,2012-09-08,51
1347,2012-09-09,54
1348,2012-09-10,43
1349,2012-09-11,39
1350,2012-09-12,36
1351,2012-09-13,62
1352,2012-09-14,49
1353,2012-09-15,67
1354,2012-09-16,52
1355,2012-09-17,53
1356,2012-09-18,71
1357,2012-09-19,64
1358,2012-09-20,44
1359,2012-09-21,42
1360,2012-09-22,88
1361,2012-09-23,40
1362,2012-09-24,46
1363,2012-09-25,42
1364,2012-09-26,31
1365,2012-09-27,39
1366,2012-09-28,42
1367,2012-09-29,53
1368,2012-09-30,62
1369,2012-10-01,46
1370,2012-10-02,37
1371,2012-10-03,54
1372,2012-10-04,47
1373,2012-10-05,58
1374,2012-10-06,57
1375,2012-10-07,48
1376,2012-10-08,41
1377,2012-10-09,56
1378,2012-10-10,46
1379,2012-10-11,25
1380,2012-10-12,39
1381,2012-10-13,51
1382,2012-10-14,50
1383,2012-10-15,43
1384,2012-10-16,58
1385,2012-10-17,42
1386,2012-10-18,54
1387,2012-10-19,58
1388,2012-10-20,62
1389,2012-10-21,70
1390,2012-10-22,71
1391,2012-10-23,82
1392,2012-10-24,82
1393,2012-10-25,74
1394,2012-10-26,47
1395,2012-10-27,56
1396,2012-10-28,46
1397,2012-10-29,71
1398,2012-10-30,43
1399,2012-10-31,107
1400,2012-11-01,66
1401,2012-11-02,87
1402,2012-11-03,57
1403,2012-11-04,63
1404,2012-11-05,47
1405,2012-11-06,59
1406,2012-11-07,53
1407,2012-11-08,57
1408,2012-11-09,42
1409,2012-11-10,58
1410,2012-11-11,70
1411,2012-11-12,49
1412,2012-11-13,47
1413,2012-11-14,63
1414,2012-11-15,77
1415,2012-11-16,59
1416,2012-11-17,51
1417,2012-11-18,62
1418,2012-11-19,41
1419,2012-11-20,42
1420,2012-11-21,46
1421,2012-11-22,65
1422,2012-11-23,49
1423,2012-11-24,79
1424,2012-11-25,54
1425,2012-11-26,56
1426,2012-11-27,37
1427,2012-11-28,52
1428,2012-11-29,67
1429,2012-11-30,57
1430,2012-12-01,53
1431,2012-12-02,66
