dia,boletins
2017-01-17 00:00:00,242
2017-01-18 00:00:00,237
2017-01-19 00:00:00,236
2017-01-20 00:00:00,272
2017-01-21 00:00:00,162
2017-01-22 00:00:00,126
2017-01-23 00:00:00,243
2017-01-24 00:00:00,221
2017-01-25 00:00:00,263
2017-01-26 00:00:00,235
2017-01-27 00:00:00,217
2017-01-28 00:00:00,164
2017-01-29 00:00:00,124
2017-01-30 00:00:00,242
2017-01-31 00:00:00,260
2017-02-01 00:00:00,285
2017-02-02 00:00:00,237
2017-02-03 00:00:00,254
2017-02-04 00:00:00,128
2017-02-05 00:00:00,153
2017-02-06 00:00:00,271
2017-02-07 00:00:00,246
2017-02-08 00:00:00,269
2017-02-09 00:00:00,221
2017-02-10 00:00:00,255
2017-02-11 00:00:00,155
2017-02-12 00:00:00,105
2017-02-13 00:00:00,227
2017-02-14 00:00:00,225
2017-02-15 00:00:00,255
2017-02-16 00:00:00,239
2017-02-17 00:00:00,230
2017-02-18 00:00:00,196
2017-02-19 00:00:00,144
2017-02-20 00:00:00,281
2017-02-21 00:00:00,270
2017-02-22 00:00:00,279
2017-02-23 00:00:00,243
2017-02-24 00:00:00,239
2017-02-25 00:00:00,162
2017-02-26 00:00:00,115
2017-02-27 00:00:00,170
2017-02-28 00:00:00,188
2017-03-01 00:00:00,250
2017-03-02 00:00:00,263
2017-03-03 00:00:00,262
2017-03-04 00:00:00,172
2017-03-05 00:00:00,140
2017-03-06 00:00:00,294
2017-03-07 00:00:00,230
2017-03-08 00:00:00,235
2017-03-09 00:00:00,255
2017-03-10 00:00:00,253
2017-03-11 00:00:00,144
2017-03-12 00:00:00,125
2017-03-13 00:00:00,247
2017-03-14 00:00:00,228
2017-03-15 00:00:00,206
2017-03-16 00:00:00,232
2017-03-17 00:00:00,243
2017-03-18 00:00:00,148
2017-03-19 00:00:00,119
2017-03-20 00:00:00,274
2017-03-21 00:00:00,210
2017-03-22 00:00:00,275
2017-03-23 00:00:00,245
2017-03-24 00:00:00,250
2017-03-25 00:00:00,163
2017-03-26 00:00:00,154
2017-03-27 00:00:00,266
2017-03-28 00:00:00,244
2017-03-29 00:00:00,288
2017-03-30 00:00:00,238
2017-03-31 00:00:00,232
2017-04-01 00:00:00,192
2017-04-02 00:00:00,151
2017-04-03 00:00:00,280
2017-04-04 00:00:00,226
2017-04-05 00:00:00,265
2017-04-06 00:00:00,222
2017-04-07 00:00:00,234
2017-04-08 00:00:00,190
2017-04-09 00:00:00,127
2017-04-10 00:00:00,235
2017-04-11 00:00:00,231
2017-04-12 00:00:00,208
2017-04-13 00:00:00,257
2017-04-14 00:00:00,153
2017-04-15 00:00:00,164
2017-04-16 00:00:00,112
2017-04-17 00:00:00,238
2017-04-18 00:00:00,228
2017-04-19 00:00:00,243
2017-04-20 00:00:00,258
2017-04-21 00:00:00,139
2017-04-22 00:00:00,163
2017-04-23 00:00:00,124
2017-04-24 00:00:00,275
2017-04-25 00:00:00,240
2017-04-26 00:00:00,245
2017-04-27 00:00:00,206
2017-04-28 00:00:00,167
2017-04-29 00:00:00,145
2017-04-30 00:00:00,112
2017-05-01 00:00:00,143
2017-05-02 00:00:00,286
2017-05-03 00:00:00,222
2017-05-04 00:00:00,230
2017-05-05 00:00:00,238
2017-05-06 00:00:00,167
2017-05-07 00:00:00,150
2017-05-08 00:00:00,201
2017-05-09 00:00:00,230
2017-05-10 00:00:00,243
2017-05-11 00:00:00,246
2017-05-12 00:00:00,227
2017-05-13 00:00:00,164
2017-05-14 00:00:00,123
2017-05-15 00:00:00,244
2017-05-16 00:00:00,239
2017-05-17 00:00:00,263
2017-05-18 00:00:00,220
2017-05-19 00:00:00,222
2017-05-20 00:00:00,171
2017-05-21 00:00:00,129
2017-05-22 00:00:00,258
2017-05-23 00:00:00,232
2017-05-24 00:00:00,246
2017-05-25 00:00:00,205
2017-05-26 00:00:00,246
2017-05-27 00:00:00,171
2017-05-28 00:00:00,139
2017-05-29 00:00:00,227
2017-05-30 00:00:00,272
2017-05-31 00:00:00,229
2017-06-01 00:00:00,245
2017-06-02 00:00:00,223
2017-06-03 00:00:00,173
2017-06-04 00:00:00,131
2017-06-05 00:00:00,219
2017-06-06 00:00:00,258
2017-06-07 00:00:00,242
2017-06-08 00:00:00,221
2017-06-09 00:00:00,239
2017-06-10 00:00:00,162
2017-06-11 00:00:00,121
2017-06-12 00:00:00,213
2017-06-13 00:00:00,252
2017-06-14 00:00:00,242
